time,despos1,desvel1,desacc1,iqcmd1,despos2,desvel2,desacc2,iqcmd2,actpos1,actvel1,actacc1,actfe1,actpos2,actvel2,actacc2,actfe2,actpos3,actvel3,actacc3,actfe3,actpos4,actvel4,actacc4,actfe4,nodeA,nodeB,nodeC,nodeD
0,1000,0,0,8.7681999,0,0,0,0,-1.49609375,0,0,1001.49609375,0,0,0,1000,0,0,0,1000,0,0,0,1000,0.274006246672251,0.274006246672251,0.274006246672251,0
0.00221,1000,0,0,16384,0,0,0,0,-1.49609375,0,0,1001.49609375,0,0,0,1000,0,0,0,1000,0,0,0,1000,3473.18943362686,3473.18943362686,3473.18943362686,0
0.00442,1000,0,0,1259.7809,0,0,0,0,12.18359375,6189.90384615385,2800861.46884789,987.81640625,0.00390625,1.76753393665158,799.789111607051,999.99609375,0,0,0,1000,0,0,0,1000,39.3681515545222,39.3681515545222,39.3681515545222,0
0.00663,1000,0,0,-963.07245,0,0,0,0,39.890625,12537.1182126697,2872042.69978092,960.109375,1.8046875,814.83314479638,367902.991339244,998.1953125,0,0,0,1000,0,0,0,1000,-30.0960138140794,-30.0960138140794,-30.0960138140794,0
0.00884,1000,0,0,-922.83063,0,0,0,0,66.66015625,12112.9100678733,-191949.386785692,933.33984375,3.2578125,657.522624434389,-71181.2309330276,996.7421875,0,0,0,1000,0,0,0,1000,-28.8384567397923,-28.8384567397923,-28.8384567397923,0
0.01105,1000,0,0,-308.32056,0,0,0,0,87.125,9260.11029411765,-1290859.62613378,912.875,4,335.831447963801,-145561.618312483,996,0,0,0,1000,0,0,0,1000,-9.63501741771232,-9.63501741771232,-9.63501741771232,0
0.01326,1000,0,0,-26.951057,0,0,0,0,106.58984375,8807.62160633484,-204746.012571406,893.41015625,4,0,-151959.93120534,996,0,0,0,1000,0,0,0,1000,-0.842220566832776,-0.842220566832776,-0.842220566832776,0
0.01547,1000,0,0,252.57808,0,0,0,0,123.62890625,7709.98303167421,-496669.038307979,876.37109375,4,0,0,996,0,0,0,1000,0,0,0,1000,7.89306485633018,7.89306485633018,7.89306485633018,0
0.01768,1000,0,0,357.12091,0,0,0,0,140.48046875,7625.14140271493,-38389.8773571385,859.51953125,4.31640625,143.170248868778,64782.9180401712,995.68359375,0,0,0,1000,0,0,0,1000,11.1600283266198,11.1600283266198,11.1600283266198,0
0.01989,1000,0,0,529.22137,0,0,0,0,156.00390625,7024.17986425339,-271928.297946397,843.99609375,5.18359375,392.392533936652,112770.264736594,994.81640625,0,0,0,1000,0,0,0,1000,16.5381679332912,16.5381679332912,16.5381679332912,0
0.0221,1000,0,0,533.1557,0,0,0,0,171.53515625,7027.7149321267,1599.57822321402,828.46484375,6.16796875,445.418552036199,23993.6733482115,993.83203125,0,0,0,1000,0,0,0,1000,16.6611158680951,16.6611158680951,16.6611158680951,0
0.02431,1000,0,0,608.08789,0,0,0,0,187.140625,7061.29807692308,15195.993120534,812.859375,9,1281.4621040724,378300.249790135,991,0,0,0,1000,0,0,0,1000,19.002746216007,19.002746216007,19.002746216007,0
0.02652,1000,0,0,512.25012,0,0,0,0,203.1796875,7257.4943438914,88776.5913883829,796.8203125,11.44921875,1108.24377828054,-78379.332937491,988.55078125,0,0,0,1000,0,0,0,1000,16.0078168817452,16.0078168817452,16.0078168817452,0
0.02873,1000,0,0,743.46204,0,0,0,0,217.28515625,6382.56504524887,-395895.610245491,782.71484375,15.6640625,1907.16911764706,361504.678446387,984.3359375,0,0,0,1000,0,0,0,1000,23.2331887759973,23.2331887759973,23.2331887759973,0
0.03094,1000,0,0,779.05206,0,0,0,0,231.6328125,6492.15214932127,49586.9249196374,768.3671875,21.48046875,2631.85803167421,327913.535758891,978.51953125,0,0,0,1000,0,0,0,1000,24.3453771342738,24.3453771342738,24.3453771342738,0
0.03315,1000,0,0,832.5105,0,0,0,0,246,6500.98981900452,3998.94555803504,754,28.62109375,3231.05203619909,271128.50883479,971.37890625,0,0,0,1000,0,0,0,1000,26.0159532854089,26.0159532854089,26.0159532854089,0
0.03536,1000,0,0,872.06714,0,0,0,0,259.6171875,6161.62330316742,-153559.509428554,740.3828125,36.7578125,3681.77319004525,203946.223459798,963.2421875,0,0,0,1000,0,0,0,1000,27.2520977785109,27.2520977785109,27.2520977785109,0
0.03757,1000,0,0,972.59094,0,0,0,0,272.95703125,6036.12839366516,-56785.0269241005,727.04296875,45.90234375,4137.79694570136,206345.590794619,954.09765625,0,0,0,1000,0,0,0,1000,30.3934675022726,30.3934675022726,30.3934675022726,0
0.03978,1000,0,0,1042.7738,0,0,0,0,285.828125,5824.02432126697,-95974.6933928464,714.171875,55.8203125,4487.76866515837,158358.244098196,944.1796875,0,0,0,1000,0,0,0,1000,32.5866818684679,32.5866818684679,32.5866818684679,0
0.04199,1000,0,0,1142.8654,0,0,0,0,297.65234375,5350.32522624434,-214343.481910689,702.34765625,66.15625,4676.89479638009,85577.4349419544,933.84375,0,0,0,1000,0,0,0,1000,35.714540554304,35.714540554304,35.714540554304,0
0.0442,1000,0,0,1221.7926,0,0,0,0,309.44140625,5334.41742081448,-7198.10200446349,690.55859375,76.87890625,4851.8806561086,79179.122049098,923.12109375,0,0,0,1000,0,0,0,1000,38.1810195392104,38.1810195392104,38.1810195392104,0
0.04641,1000,0,0,1255.3225,0,0,0,0,320.578125,5039.23925339366,-133564.781638378,679.421875,88.50390625,5260.18099547511,184751.284781229,911.49609375,0,0,0,1000,0,0,0,1000,39.2288268118868,39.2288268118868,39.2288268118868,0
0.04862,1000,0,0,1339.881,0,0,0,0,331.40625,4899.60407239819,-63183.339816957,668.59375,100.49609375,5426.32918552036,75180.1764910629,899.50390625,0,0,0,1000,0,0,0,1000,41.8712815782041,41.8712815782041,41.8712815782041,0
0.05083,1000,0,0,1439.5366,0,0,0,0,341.75,4680.42986425339,-99173.8498392744,658.25,113.3671875,5824.02432126697,179952.550111586,886.6328125,0,0,0,1000,0,0,0,1000,44.9855204356709,44.9855204356709,44.9855204356709,0
